CONNECT udp:127.0.0.1:14550
HEARTBEAT target=1/0 mode=GUIDED
BOOTSTRAP gz=(-0.013,0.046,66.668) local=(0.018,-0.008,-66.178) axis=enu speed_source=zero attitude_source=zero pose_delay=0.60s bias=(0.00,0.00) noise_std=0.25 observe_only=False
GT sent=1 pose=(-0.03,0.09,-66.18) vel=(0.00,0.00,0.00) err=(-0.05,0.10,0.00) local_age=0.00s ekf=-
STATUSTEXT severity=6 text=No ap_message for mavlink id (253)
GT sent=5 pose=(0.25,0.08,-66.18) vel=(0.00,0.00,0.00) err=(0.24,0.08,-0.00) local_age=0.25s ekf_flags=831 vel_var=0.007 pos_var=0.005
GT sent=9 pose=(-0.31,-0.18,-66.18) vel=(0.00,0.00,0.00) err=(-0.33,-0.17,0.00) local_age=0.26s ekf_flags=831 vel_var=0.007 pos_var=0.004
GT sent=14 pose=(-0.09,0.27,-66.17) vel=(0.00,0.00,0.00) err=(-0.11,0.27,-0.00) local_age=0.17s ekf_flags=831 vel_var=0.008 pos_var=0.004
GT sent=18 pose=(0.05,0.07,-66.17) vel=(0.00,0.00,0.00) err=(0.03,0.07,0.00) local_age=0.50s ekf_flags=831 vel_var=0.008 pos_var=0.004
GT sent=22 pose=(-0.07,-0.21,-66.18) vel=(0.00,0.00,0.00) err=(-0.09,-0.21,0.01) local_age=0.35s ekf_flags=831 vel_var=0.008 pos_var=0.004
GT sent=27 pose=(-0.32,0.06,-66.19) vel=(0.00,0.00,0.00) err=(-0.34,0.07,-0.00) local_age=0.50s ekf_flags=831 vel_var=0.008 pos_var=0.004
GT sent=31 pose=(0.25,-0.20,-66.19) vel=(0.00,0.00,0.00) err=(0.23,-0.19,0.01) local_age=0.01s ekf_flags=831 vel_var=0.009 pos_var=0.006
GT sent=35 pose=(-0.15,-0.37,-66.20) vel=(0.00,0.00,0.00) err=(-0.16,-0.36,0.00) local_age=1.03s ekf_flags=831 vel_var=0.009 pos_var=0.006
GT sent=39 pose=(-0.23,-0.15,-66.20) vel=(0.00,0.00,0.00) err=(-0.24,-0.15,0.00) local_age=2.03s ekf_flags=831 vel_var=0.009 pos_var=0.006
GT sent=44 pose=(0.34,0.54,-66.20) vel=(0.00,0.00,0.00) err=(0.32,0.54,0.00) local_age=3.28s ekf_flags=831 vel_var=0.009 pos_var=0.006
GT sent=49 pose=(0.37,0.46,-66.20) vel=(0.00,0.00,0.00) err=(0.35,0.47,0.00) local_age=4.53s ekf_flags=831 vel_var=0.009 pos_var=0.006
GT sent=53 pose=(0.56,-0.07,-66.20) vel=(0.00,0.00,0.00) err=(0.55,-0.07,0.00) local_age=5.53s ekf_flags=831 vel_var=0.009 pos_var=0.006
GT sent=57 pose=(0.53,-0.67,-66.20) vel=(0.00,0.00,0.00) err=(0.51,-0.66,0.00) local_age=6.53s ekf_flags=831 vel_var=0.009 pos_var=0.006
GT sent=62 pose=(0.70,-1.13,-66.20) vel=(0.00,0.00,0.00) err=(0.69,-1.12,0.00) local_age=7.87s ekf_flags=831 vel_var=0.009 pos_var=0.006
GT sent=67 pose=(0.35,-0.92,-66.20) vel=(0.00,0.00,0.00) err=(0.33,-0.91,0.00) local_age=9.01s ekf_flags=831 vel_var=0.009 pos_var=0.006
GT sent=71 pose=(-0.17,-0.30,-66.20) vel=(0.00,0.00,0.00) err=(-0.18,-0.30,0.00) local_age=10.03s ekf_flags=831 vel_var=0.009 pos_var=0.006
GT sent=76 pose=(-0.48,0.15,-66.20) vel=(0.00,0.00,0.00) err=(-0.50,0.16,0.00) local_age=11.27s ekf_flags=831 vel_var=0.009 pos_var=0.006
GT sent=80 pose=(-1.04,0.51,-66.20) vel=(0.00,0.00,0.00) err=(-1.05,0.52,0.00) local_age=12.28s ekf_flags=831 vel_var=0.009 pos_var=0.006
GT sent=84 pose=(-0.64,0.88,-66.20) vel=(0.00,0.00,0.00) err=(-0.65,0.88,0.00) local_age=13.28s ekf_flags=831 vel_var=0.009 pos_var=0.006
GT sent=88 pose=(0.29,-0.08,-66.20) vel=(0.00,0.00,0.00) err=(0.28,-0.07,0.00) local_age=14.28s ekf_flags=831 vel_var=0.009 pos_var=0.006
GT sent=93 pose=(0.96,-0.02,-66.20) vel=(0.00,0.00,0.00) err=(0.95,-0.02,0.00) local_age=15.53s ekf_flags=831 vel_var=0.009 pos_var=0.006
GT sent=97 pose=(1.26,-0.32,-66.20) vel=(0.00,0.00,0.00) err=(1.24,-0.32,0.00) local_age=16.53s ekf_flags=831 vel_var=0.009 pos_var=0.006
GT sent=102 pose=(0.86,-0.98,-66.20) vel=(0.00,0.00,0.00) err=(0.84,-0.97,0.00) local_age=17.91s ekf_flags=831 vel_var=0.009 pos_var=0.006
GT sent=107 pose=(-0.28,-0.05,-66.20) vel=(0.00,0.00,0.00) err=(-0.29,-0.05,0.00) local_age=19.12s ekf_flags=831 vel_var=0.009 pos_var=0.006
GT sent=112 pose=(0.07,0.33,-66.20) vel=(0.00,0.00,0.00) err=(0.06,0.34,0.00) local_age=20.28s ekf_flags=831 vel_var=0.009 pos_var=0.006
GT sent=117 pose=(-0.94,0.44,-66.20) vel=(0.00,0.00,0.00) err=(-0.96,0.44,0.00) local_age=21.53s ekf_flags=831 vel_var=0.009 pos_var=0.006
GT sent=122 pose=(-0.11,0.34,-66.20) vel=(0.00,0.00,0.00) err=(-0.12,0.34,0.00) local_age=22.91s ekf_flags=831 vel_var=0.009 pos_var=0.006
GT sent=127 pose=(-0.30,-0.66,-66.20) vel=(0.00,0.00,0.00) err=(-0.32,-0.66,0.00) local_age=24.03s ekf_flags=831 vel_var=0.009 pos_var=0.006
GT sent=131 pose=(0.87,-1.55,-66.20) vel=(0.00,0.00,0.00) err=(0.86,-1.54,0.00) local_age=25.16s ekf_flags=831 vel_var=0.009 pos_var=0.006
GT sent=136 pose=(1.49,-1.64,-66.20) vel=(0.00,0.00,0.00) err=(1.47,-1.64,0.00) local_age=26.28s ekf_flags=831 vel_var=0.009 pos_var=0.006
GT sent=141 pose=(1.24,-0.92,-66.20) vel=(0.00,0.00,0.00) err=(1.23,-0.92,0.00) local_age=27.53s ekf_flags=831 vel_var=0.009 pos_var=0.006
GT sent=145 pose=(0.81,0.02,-66.20) vel=(0.00,0.00,0.00) err=(0.79,0.02,0.00) local_age=28.53s ekf_flags=831 vel_var=0.009 pos_var=0.006
GT sent=150 pose=(1.03,1.51,-66.20) vel=(0.00,0.00,0.00) err=(1.02,1.51,0.00) local_age=29.78s ekf_flags=831 vel_var=0.009 pos_var=0.006
GT sent=154 pose=(0.67,2.53,-66.20) vel=(0.00,0.00,0.00) err=(0.66,2.53,0.00) local_age=30.78s ekf_flags=831 vel_var=0.009 pos_var=0.006
GT sent=159 pose=(-0.77,2.23,-66.20) vel=(0.00,0.00,0.00) err=(-0.06,0.33,-0.02) local_age=0.17s ekf_flags=831 vel_var=0.254 pos_var=0.000
GT sent=164 pose=(-1.39,0.45,-66.17) vel=(0.00,0.00,0.00) err=(-0.32,-1.18,-0.00) local_age=0.23s ekf_flags=831 vel_var=0.254 pos_var=0.000
GT sent=168 pose=(-1.22,-0.31,-66.17) vel=(0.00,0.00,0.00) err=(0.28,-1.34,-0.01) local_age=0.07s ekf_flags=831 vel_var=0.173 pos_var=0.015
GT sent=172 pose=(-1.38,-0.23,-66.17) vel=(0.00,0.00,0.00) err=(0.28,-0.81,0.01) local_age=0.03s ekf_flags=831 vel_var=0.137 pos_var=0.012
